Source,Target
AQF:U2 R U' R' U R D' R' U' R U D R' U2,JQC:U' R U' R' U R D' R' U' R U D R' U
AQN:U' R' F' R U' R D' R' U R D R2 F R U,JQN:R' F' R U' R D' R' U R D R2 F R
AQN:U' R' F' R U' R D' R' U R D R2 F R U,GQN:U R' F' R U' R D' R' U R D R2 F R U'
AQR:U' R D' R2 D R U R' D' R U' R D R' U,JQR:R D' R2 D R U R' D' R U' R D R'
AQR:U' R D' R2 D R U R' D' R U' R D R' U,ARQ:U' R D' R' U R' D R U' R' D' R2 D R' U
AQR:U' R D' R2 D R U R' D' R U' R D R' U,GQR:U R D' R2 D R U R' D' R U' R D R' U'
AQS:R' U R2 D' R' U R D R' U' R' U' R,GBO:U R2 D' R' U R D R' U' R' U'
AQS:R' U R2 D' R' U R D R' U' R' U' R,ASQ:R' U R U R D' R' U' R D R2 U' R
AQS:R' U R2 D' R' U R D R' U' R' U' R,ATY:D R' U R2 D' R' U R D R' U' R' U' R D'
AQS:R' U R2 D' R' U R D R' U' R' U' R,DQS:U' R' U R2 D' R' U R D R' U' R' U' R U
AQT:D' R' U2 R D R' U2 R,JBO:R2 D' R' U2 R D R' U2 R'
AQT:D' R' U2 R D R' U2 R,GAQ:R D' R' U2 R D R' U2
AQT:D' R' U2 R D R' U2 R,ATQ:R' U2 R D' R' U2 R D
AQT:D' R' U2 R D R' U2 R,JQT:U D' R' U2 R D R' U2 R U'
AQT:D' R' U2 R D R' U2 R,GSA:U2 R D R' U2 R D' R'
AQT:D' R' U2 R D R' U2 R,JGB:R U2 R D R' U2 R D' R2
